Year,SEX,AREA,Value
2010,,Jericho & AL Aghwar,
2011,,Jericho & AL Aghwar,
2017,,Jericho & AL Aghwar,15.7
2009,,Bethlehem,
2010,,Bethlehem,
2011,,Bethlehem,
2017,,Bethlehem,9.4
2009,,Hebron,
2010,,Hebron,
2011,,Hebron,
2017,,Hebron,20.3
2009,,North Gaza,
2010,,North Gaza,
2011,,North Gaza,
2017,,North Gaza,51.2
2009,,Gaza,
2010,,Gaza,
2011,,Gaza,
2017,,Gaza,51.6
2009,,Dier Al-Balah,
2010,,Dier Al-Balah,
2011,,Dier Al-Balah,
2017,,Dier Al-Balah,55.6
2009,,Khan Yunis,
2010,,Khan Yunis,
2011,,Khan Yunis,
2017,,Khan Yunis,54.2
2009,,Rafah,
2010,,Rafah,
2011,,Rafah,
2017,,Rafah,55.7
