Year,URBANISATION,AREA,Series,Value
2012,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2013,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2014,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.4
2015,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2017,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.3
2000,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.6
2002,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.0
2003,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2004,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.0
2005,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2006,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2007,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2008,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2009,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2010,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",90.8
2011,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2012,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.6
2013,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.5
2014,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2015,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2017,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2019,,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.6
2000,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2008,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",85.8
2011,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.4
2015,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",96.9
2008,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",78.4
2011,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2015,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2019,,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2008,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.2
2011,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2015,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.6
2008,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.3
2011,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2015,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2008,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",95.3
2011,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2015,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2019,,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.5
2008,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",66.5
2011,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2015,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2019,,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.7
2008,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",80.1
2011,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.0
2015,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2019,,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",94.3
2008,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",95.5
2011,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",96.4
2015,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2019,,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.0
2008,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",88.3
2011,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2015,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.5
2019,,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2008,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",90.9
2011,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.2
2015,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.7
2019,,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.4
2008,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",85.1
2011,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.9
2015,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2019,,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2008,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",92.8
2011,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.2
2015,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2019,,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2008,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",95.6
2011,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.8
2015,,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
