Year,URBANISATION,AREA,Series,Value
2019,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
